Ürün,Üretim,EkildiğiAy,TohumFiyatı,Bölge,ÜretimSüresi,SatışFiyatı,EkilenAlan,DestekParası,sonuç,binarySonuc,durum
Kabak,55043,Mayıs,4.5,Marmara,Kısa Süre,4.0,7378910.0,0,-387.3,1,Kar
Kavun,1753942,Mart,3.9,Doğu Anadolu,Kısa Süre,1.5,7351760.0,0,-556.9,1,Kar
Karpuz,4031174,Mayıs,3.9,Güneydoğu Anadolu,Kısa Süre,1.0,8636100.0,0,-628.5,1,Kar
Bezelye,107344,Şubat,13.0,Akdeniz,Kısa Süre,2.5,974330.0,0,-1640.3,1,Kar
Fasulye,225000,Mayıs,3.85,İç Anadolu,Kısa Süre,5.0,889385.0,0,-160.2,1,Kar
Muşmula,4695,Kasım,2.0,Marmara,Uzun Süre,5.8,248.0,0,75.4,1,Kar
Kızılcık,10243,Ağustos,1.25,Marmara,Uzun Süre,5.0,689.0,0,63.9,1,Kar
Vişne,184167,Nisan,2.13,İç Anadolu,Uzun Süre,5.0,5835.0,0,1.98000000000002,1,Kar
Antep fıstığı,240000,Kasım,32.0,Güneydoğu Anadolu,Uzun Süre,71.0,49558.0,0,2583.4,1,Kar
Badem,100000,Kasım,1.45,Ege,Uzun Süre,81.0,8490.0,0,7657.1,1,Kar
Ceviz,215000,Mart,9.99,Ege,Uzun Süre,71.0,9875.0,0,5532.74,1,Kar
Fındık,515000,Mart,1.2,Karadeniz,Uzun Süre,63.0,378280.0,21,6080.6,1,Kar
Kestane,63580,Nisan,1.95,Ege,Uzun Süre,19.0,1954.0,0,1390.1,1,Kar
Üzüm,4100000,Eylül,1.75,Ege,Uzun Süre,5.9,4054387.0,0,118.9,1,Kar
Dut,66647,Kasım,1.25,Akdeniz,Uzun Süre,72.0,2324.0,0,6819.9,1,Kar
İncir,306499,Ocak,17.99,Ege,Uzun Süre,44.0,9930.0,0,1764.74,1,Kar
Keçiboynuzu,15506,Mart,6.99,Akdeniz,Uzun Süre,26.0,332.0,0,1394.74,1,Kar
Trabzon Hurması,46676,Kasım,2.12,Akdeniz,Uzun Süre,60.0,1031.0,0,5471.32,1,Kar
Kivi,61920,Kasım,5.99,Karadeniz,Uzun Süre,22.0,1489.0,0,1148.74,1,Kar
Böğürtlen,2540,Kasım,7.29,Marmara,Kısa Süre,22.0,2807.0,0,1086.84,1,Kar
Maviyemiş,375,Eylül,5.99,Karadeniz,Kısa Süre,32.0,990.0,0,2269.04,1,Kar
